job_title,experience,salary,location,job_type,url,company_name,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Shakespeare Curriculum Product Manager,,,CV34,,https://www.cv-library.co.uk/job/223354777,Royal Shakespeare Company,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",,https://www.cv-library.co.uk/logo/small/6ada1a0d68ed4e1f8b0f7c783f7aaf86,https://www.cv-library.co.uk/job/223354777/Shakespeare-Curriculum-Product-Manager,UK,cv_library,2025-04-22T02:29:03.521967
Supplier Manager,,,NN1 3QS,Permanent,https://www.cv-library.co.uk/job/223368500,Barclays Bank PLC,"Are you an ambitious 4 year+ PQE Private Client Solicitor looking seeking a new challenge with a well-established Legal 500 firm. Our client, a reputable Legal 500 Firm, is actively seeking a skilled Solicitor to join their Wills and Probate team. This is an excellent opportunity to step into a …more",2025-04-19T04:07:15Z,,https://www.cv-library.co.uk/job/223368500/Supplier-Manager,UK,cv_library,2025-04-22T02:29:05.125430
Social Media Specialist,,,London,Permanent,https://www.cv-library.co.uk/job/223368677,UK Power Networks (Operations) Ltd,"Our client are a leading UK Design Consultancy, delivering multi-disciplinary engineering solutions in the Built Environment. They have a diverse range of clients and portfolio of projects which cover industrial, pharmaceutical, residential, commercial, education, defence, probation and domestic …more",2025-04-20T01:00:14Z,https://www.cv-library.co.uk/logo/big/95262c20acbb4734ba111c3b59c84ad3,https://www.cv-library.co.uk/job/223368677/Social-Media-Specialist,UK,cv_library,2025-04-22T02:29:04.468653
Recovery Worker,,"£28,000/yearly",ST18 0GP,Permanent,https://www.cv-library.co.uk/job/223368627,Turning Point,"Our client are a leading UK Design Consultancy, delivering multi-disciplinary engineering solutions in the Built Environment. They have a diverse range of clients and portfolio of projects which cover industrial, pharmaceutical, residential, commercial, education, defence, probation and domestic …more",2025-04-19T13:10:14Z,https://www.cv-library.co.uk/logo/big/29b5eebcdc764ff6885d3914fbf9a1d2,https://www.cv-library.co.uk/job/223368627/Recovery-Worker,UK,cv_library,2025-04-22T02:29:06.268025
Junior Sous Chef,,"£32,000/annum","OX1, Oxford, Oxfordshire",Permanent,https://www.cv-library.co.uk/job/222607451,Pembroke College,"Our client are a leading UK Design Consultancy, delivering multi-disciplinary engineering solutions in the Built Environment. They have a diverse range of clients and portfolio of projects which cover industrial, pharmaceutical, residential, commercial, education, defence, probation and domestic …more",2025-04-19T12:59:28Z,https://www.cv-library.co.uk/logo/big/1ea894a929a14574a69ad8b5f18b3dc2,https://www.cv-library.co.uk/job/222607451/Junior-Sous-Chef,UK,cv_library,2025-04-22T02:29:06.365210
Sous Chef,,"£34,000 - £36,000/annum","OX1, Oxford, Oxfordshire",Permanent,https://www.cv-library.co.uk/job/222801765,Pembroke College,"Our client are a leading UK Design Consultancy, delivering multi-disciplinary engineering solutions in the Built Environment. They have a diverse range of clients and portfolio of projects which cover industrial, pharmaceutical, residential, commercial, education, defence, probation and domestic …more",2025-04-19T12:59:28Z,https://www.cv-library.co.uk/logo/big/1ea894a929a14574a69ad8b5f18b3dc2,https://www.cv-library.co.uk/job/222801765/Sous-Chef,UK,cv_library,2025-04-22T02:29:06.369210
Trainee Bus Driver - Birmingham Central,,,Bordesley,Permanent,https://www.cv-library.co.uk/job/223368603,National Express Group PLC,"Our client are a leading UK Design Consultancy, delivering multi-disciplinary engineering solutions in the Built Environment. They have a diverse range of clients and portfolio of projects which cover industrial, pharmaceutical, residential, commercial, education, defence, probation and domestic …more",2025-04-19T11:00:14Z,https://www.cv-library.co.uk/logo/big/c7ed7f243e124672819d887292589f24,https://www.cv-library.co.uk/job/223368603/Trainee-Bus-Driver-Birmingham-Central,UK,cv_library,2025-04-22T02:29:06.632368
HGV Class 2 Driver,,"£33,500 - £34,000...",Alton,,https://www.cv-library.co.uk/job/223361261,Conquip Engineering Group,"My client is currently looking to recruit a CMM Technician to join their site on the outskirts of Glasgow. You will be working with a successful manufacturer, that has a culture on site that is results-driven with a strong focus on continuous improvement. The company is well established, …more",,https://www.cv-library.co.uk/logo/small/f00f770549374457a2bf16e23a394054,https://www.cv-library.co.uk/job/223361261/HGV-Class-2-Driver,UK,cv_library,2025-04-22T02:29:03.115166
HGV Class 2 Driver,,"£33,500 - £34,000...",Alton,,https://www.cv-library.co.uk/job/223361261,Conquip Engineering Group,"My client is currently looking to recruit a CMM Technician to join their site on the outskirts of Glasgow. You will be working with a successful manufacturer, that has a culture on site that is results-driven with a strong focus on continuous improvement. The company is well established, …more",,https://www.cv-library.co.uk/logo/small/f00f770549374457a2bf16e23a394054,https://www.cv-library.co.uk/job/223361261/HGV-Class-2-Driver,UK,cv_library,2025-04-22T02:29:03.119179
Field Service Engineer,,,South East,Permanent,https://www.cv-library.co.uk/job/223340672,Clarke Energy Ltd,"My client is currently looking to recruit a CMM Technician to join their site on the outskirts of Glasgow. You will be working with a successful manufacturer, that has a culture on site that is results-driven with a strong focus on continuous improvement. The company is well established, …more",2025-04-20T15:10:03Z,https://www.cv-library.co.uk/logo/big/5445b9707a454e5b9c0ef025a56a9cf6,https://www.cv-library.co.uk/job/223340672/Field-Service-Engineer,UK,cv_library,2025-04-22T02:29:04.037258
