title,experience,salary,location,job_type,url,company,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:08.529655
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:09.991596
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:06.821641
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:06.825654
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:08.617814
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:10.418533
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:08.140742
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:08.143742
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:10.201264
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"The Opportunity. Prospero Teaching are looking for an Outreach Tutor to deliver bespoke education packages on a 1:1 basis to young people that are not attending school. As an Outreach Tutor, you must be able to create, plan and deliver 1:1 tailored lesson to bridge gaps in pupil's education and …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341061/Outreach-Tutor/apply,UK,cv_library,2025-04-13T14:40:11.095623
In Work Support Worker (Job Coach),,£15/hour,London,,https://www.cv-library.co.uk/job/223328550,Action on Disability,"Are you ready to elevate your career as an Electrical Test Engineer with a leading UK automation solutions provider? This opportunity offers a chance to work on innovative projects, contributing to the development of cutting-edge automation technologies. With a focus on personal development and …more",,https://www.cv-library.co.uk/logo/small/ef6d885032dc470880b721ebfa84e898,https://www.cv-library.co.uk/job/223341029/Electrical-Test-Engineer/apply,UK,cv_library,2025-04-13T14:40:11.531011
