title,experience,salary,location,job_type,url,company,description,posted_date,company_logo,apply_link,country,source,ingestion_timestamp
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Job Advert: Administrative Assistant – Property Development. We are a growing property development company based in the North West, currently seeking a proactive and organised Administrative Assistant to join our team on a Full or part-time basis. This varied role will suit someone with a keen eye …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/register/apply?autoapply=223295562,UK,cv_library,2025-04-13T14:40:24.107549
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Job Advert: Administrative Assistant – Property Development. We are a growing property development company based in the North West, currently seeking a proactive and organised Administrative Assistant to join our team on a Full or part-time basis. This varied role will suit someone with a keen eye …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/register/apply?autoapply=223295562,UK,cv_library,2025-04-13T14:40:27.077835
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:23.413172
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:27.799488
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Senior Sales Engineer - Stevenage. This is an opportunity for an experience for a Senior Sales Engineer to join a leading manufacturer of test and measurement solutions for acoustics, audio, and vibration applications. If you have excellent Acoustic or Engineering knowledge with sales experience …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341033/Senior-Sales-Engineer/apply,UK,cv_library,2025-04-13T14:40:29.432844
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"Jark Stevenage is currently recruiting a machine operative to join a busy cosmetic company based in Stevenage, the ideal candidate will be comfortable working in a fast pace environment and have a great attention to detail. This is a temporary position, however for the right candidate it could lead …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341035/Machine-Operative/apply,UK,cv_library,2025-04-13T14:40:22.343518
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Jark Stevenage is currently recruiting a machine operative to join a busy cosmetic company based in Stevenage, the ideal candidate will be comfortable working in a fast pace environment and have a great attention to detail. This is a temporary position, however for the right candidate it could lead …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341035/Machine-Operative/apply,UK,cv_library,2025-04-13T14:40:27.734737
Recruitment Delivery Consultant,,"£26,000 - £28,000/annum","Southampton, Hampshire",Permanent,https://www.cv-library.co.uk/job/223340927,Prospero Group,"Jark Stevenage is currently recruiting a machine operative to join a busy cosmetic company based in Stevenage, the ideal candidate will be comfortable working in a fast pace environment and have a great attention to detail. This is a temporary position, however for the right candidate it could lead …more",2025-04-11T15:40:33Z,https://www.cv-library.co.uk/logo/big/a79962c77ad34526beffb856f04d8337,https://www.cv-library.co.uk/job/223341035/Machine-Operative/apply,UK,cv_library,2025-04-13T14:40:29.771981
Project Manager,,£320 - £360/annum,Finsbury Park,Contract,https://www.cv-library.co.uk/job/223341012,Borne Resourcing Limited,"Jark Stevenage is currently recruiting a machine operative to join a busy cosmetic company based in Stevenage, the ideal candidate will be comfortable working in a fast pace environment and have a great attention to detail. This is a temporary position, however for the right candidate it could lead …more",2025-04-11T15:52:08Z,https://www.cv-library.co.uk/logo/big/2b6f576311554e0c932fafa29d0693a4,https://www.cv-library.co.uk/job/223341035/Machine-Operative/apply,UK,cv_library,2025-04-13T14:40:23.260727
Lecturer in Sports Therapy (HE),,"£38,249 - £42,882/annum","Birmingham, West Midlands (County)",Permanent,https://www.cv-library.co.uk/job/223340953,University College Birmingham,"Jark Stevenage is currently recruiting a machine operative to join a busy cosmetic company based in Stevenage, the ideal candidate will be comfortable working in a fast pace environment and have a great attention to detail. This is a temporary position, however for the right candidate it could lead …more",2025-04-11T15:43:17Z,https://www.cv-library.co.uk/logo/big/189f66da266643c5a730e1fac837ed3b,https://www.cv-library.co.uk/job/223341035/Machine-Operative/apply,UK,cv_library,2025-04-13T14:40:28.546903
